TITLE,ADDITIONAL FEATURES,STREET,CITY,ZIP_CODE,COUNTY,ACTION STAGE(S),Owner: Contact Name,Owner: Company Address Line 1,OWNER NAME,Engineer: Company Name,Civil Eng: Company Name,Consultant: Company Name,Civil Eng: Contact Name,HIGH VALUE(S),URL LINK TO PROJECT,SQUARE AREA,PROJECT TYPE(S),SITE NAME,NUMBER OF BLDGS,FIRST PUBLISH DATE,FULL_ADDRESS,LATITUDE,LONGITUDE
Warehouse C,N/A,Straughns Mill Rd,OLDMANS TOWNSHIP,'08067',SALEM,Pre-Design,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24999999,https://apps.construction.com/projects/202300196848,200070,Warehouse,N/A,1,5/18/2023,"Straughns Mill Rd, OLDMANS TOWNSHIP, SALEM, NJ '08067'",39.7314871,-75.4059389
Warehouse B,N/A,Harding Hwy,PENNS GROVE,'08069',SALEM,Pre-Design,N/A,N/A,N/A,N/A,N/A,N/A,N/A,49999999,https://apps.construction.com/projects/202300196780,315700,Warehouse,N/A,1,5/18/2023,"Harding Hwy, PENNS GROVE, SALEM, NJ '08069'",39.7226926,-75.4607599
Warehouse A,N/A,Straughns Mill Rd,OLDMANS TOWNSHIP,'08067',SALEM,Pre-Design,N/A,N/A,N/A,N/A,N/A,N/A,N/A,49999999,https://apps.construction.com/projects/202300196818,320000,Warehouse,N/A,1,5/18/2023,"Straughns Mill Rd, OLDMANS TOWNSHIP, SALEM, NJ '08067'",39.7314871,-75.4059389
Warehouse A,N/A,Harding Hwy,PENNS GROVE,'08069',SALEM,Pre-Design,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24999999,https://apps.construction.com/projects/202300196677,160600,Warehouse,N/A,1,5/18/2023,"Harding Hwy, PENNS GROVE, SALEM, NJ '08069'",39.7226926,-75.4607599
Warehouse,"154,000 +/- square foot warehouse facility along with car parking,; trailer parking, stormwater management, and associated improvements,; on 10.09 +/- acres of vacant l",3 Collins Dr,PENNS GROVE,'08069',SALEM,Planning Schematics,N/A,N/A,N/A,Marathon Engineering & Environmental Services,Marathon Engineering & Environmental Services,N/A,"David J Fleming, P.E.",24999999,https://apps.construction.com/projects/202200717838,154000,Warehouse,N/A,1,8/9/2022,"3 Collins Dr, PENNS GROVE, SALEM, NJ '08069'",39.705673,-75.445623
Warehouse B,N/A,Straughns Mill Rd,OLDMANS TOWNSHIP,'08067',SALEM,Pre-Design,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14999999,https://apps.construction.com/projects/202300196831,100500,Warehouse,N/A,1,5/18/2023,"Straughns Mill Rd, OLDMANS TOWNSHIP, SALEM, NJ '08067'",39.7314871,-75.4059389
Warehouse,N/A,7 Collins Dr,PENNS GROVE,'08069',SALEM,Planning Schematics,N/A,N/A,N/A,Marathon Engineering & Environmental Services,Marathon Engineering & Environmental Services,N/A,"David J Fleming, P.E.",24999999,https://apps.construction.com/projects/202200717804,178500,Warehouse,N/A,1,8/9/2022,"7 Collins Dr, PENNS GROVE, SALEM, NJ '08069'",39.704744,-75.45003799999999
Industrial & Warehouse Distribution Spec Bldgs Master Report,"Construction of a 745,889 square foot industrial park and warehouse; distribution hub consisting of construction of 3 warehouse buildings; on the former PSE&G Hudson Generating Station. Site includes 135; Duffield Avenue and 50, 58, 80 & 110 Van Keuren Avenue, Block 3101,; Lots 21, 22, 23, 24, 25, 26, 29, 30, 31, 32, 36, 37, 42, 43 & 44; and; Block 7402, Lots 21, 22, 23, 24, 33, 34 & 35 (Van Keuren Avenue; Redevelpment Plan)",135 Duffield Ave,JERSEY CITY,'07306',HUDSON,Design Development,Ryan Gormley,5 REVERE DR STE 206,Hilco Global,N/A,N/A,N/A,N/A,49999999,https://apps.construction.com/projects/202000637768,N/A,Warehouse,N/A,N/A,6/10/2020,"135 Duffield Ave, JERSEY CITY, HUDSON, NJ '07306'",40.7424573,-74.0751138
Morris Crossings-Warehouse-Accessory Office Building-Parking,"Demolition of the vacant office complex formerly occupied by BASF; Corporation and construction of a warehouse with accessory office; consisting of 585,000 square feet, together with 160 parking spaces,; 285 land banked spaces 110 loading bays.",450 Clark Dr,MOUNT OLIVE,'078284312',MORRIS,Design Development,N/A,3 CENTRE DR,Matrix Development Group,N/A,N/A,N/A,N/A,1E+15,https://apps.construction.com/projects/202300076407,585000,Office Warehouse Paving,N/A,1,3/2/2023,"450 Clark Dr, MOUNT OLIVE, MORRIS, NJ '078284312'",40.8974343,-74.728337
Warehouse with Office Space (DESIGN/BUILD),304119 SF one-story building consisting of 298012 SF of Warehouse Space; and 6107 SF of Office Space and associated Site Improvements.,1301 N 26th St,CAMDEN,'081053864',CAMDEN,Planning Schematics,Aaron Tappana,8775 FOLSOM BLVD STE 200,Panattoni Development Company,N/A,N/A,N/A,N/A,49999999,https://apps.construction.com/projects/202300448917,304119,Office Warehouse,N/A,1,12/12/2023,"1301 N 26th St, CAMDEN, CAMDEN, NJ '081053864'",39.9573512,-75.0988236
